date,volatility
2021-08-05,97.42
2021-08-06,98.63
2021-08-07,100.75
2021-08-08,109.88
2021-08-09,109.86
2021-08-10,106.29
2021-08-11,102.89
2021-08-12,100.96
2021-08-13,102.66
2021-08-14,101.87
2021-08-15,101.19
2021-08-16,99.64
2021-08-17,97.8
2021-08-18,96.83
2021-08-19,98.11
2021-08-20,97.01
2021-08-21,96.24
2021-08-22,97.81
2021-08-23,95.92
2021-08-24,93.68
2021-08-25,94.79
2021-08-26,91.86
2021-08-27,92.2
2021-08-28,91.97
2021-08-29,92.39
2021-08-30,95.65
2021-08-31,96.28
2021-09-01,97.25
2021-09-02,94.45
2021-09-03,93.08
2021-09-04,93.46
2021-09-05,92.14
2021-09-06,96.91
2021-09-07,94.61
2021-09-08,93.69
2021-09-09,93.32
2021-09-10,92.06
2021-09-11,91.87
2021-09-12,96.42
2021-09-13,93.58
2021-09-14,91.77
2021-09-15,88.76
2021-09-16,85.64
2021-09-17,87.21
2021-09-18,86.35
2021-09-19,91.49
2021-09-20,92.58
2021-09-21,91.61
2021-09-22,86.05
2021-09-23,86.91
2021-09-24,84.28
2021-09-25,83.87
2021-09-26,88.93
2021-09-27,89.98
2021-09-28,91.57
2021-09-29,91.59
2021-09-30,89.07
2021-10-01,84.53
2021-10-02,86.35
2021-10-03,90.31
2021-10-04,92.55
2021-10-05,92.7
2021-10-06,90.97
2021-10-07,89.08
2021-10-08,88.82
2021-10-09,88.68
2021-10-10,91.7
2021-10-11,93.77
2021-10-12,95.56
2021-10-13,97.37
2021-10-14,101.05
2021-10-15,87.46
2021-10-16,90.08
2021-10-17,92.71
2021-10-18,93.58
2021-10-19,95.82
2021-10-20,94.94
2021-10-21,86.42
2021-10-22,88.96
2021-10-23,91.0
2021-10-24,88.77
2021-10-25,88.04
2021-10-26,91.3
2021-10-27,88.46
2021-10-28,92.72
2021-10-29,89.3
2021-10-30,91.18
2021-10-31,90.37
2021-11-01,90.06
2021-11-02,86.8
2021-11-03,87.67
2021-11-04,87.71
2021-11-05,87.67
2021-11-06,89.45
2021-11-07,90.43
2021-11-08,88.38
2021-11-09,89.04
2021-11-10,89.11
2021-11-11,93.26
2021-11-12,91.86
2021-11-13,91.26
2021-11-14,90.12
2021-11-15,91.01
2021-11-16,92.06
2021-11-17,98.48
2021-11-18,93.14
2021-11-19,93.5
2021-11-20,92.57
2021-11-21,93.72
2021-11-22,94.22
2021-11-23,94.98
2021-11-24,92.76
2021-11-25,91.06
2021-11-26,90.02
2021-11-27,89.0
2021-11-28,87.85
2021-11-29,91.57
2021-11-30,87.49
2021-12-01,88.06
2021-12-02,88.68
2021-12-03,93.06
2021-12-04,93.02
2021-12-05,87.3
2021-12-06,90.08
2021-12-07,89.72
2021-12-08,94.04
2021-12-09,95.35
2021-12-10,94.42
2021-12-11,96.54
2021-12-12,93.49
2021-12-13,94.55
2021-12-14,93.52
2021-12-15,89.18
2021-12-16,88.33
2021-12-17,90.72
2021-12-18,89.69
2021-12-19,89.87
2021-12-20,88.35
2021-12-21,87.31
2021-12-22,84.75
2021-12-23,82.3
2021-12-24,82.71
2021-12-25,83.17
2021-12-26,81.51
2021-12-27,78.97
2021-12-28,81.03
2021-12-29,80.26
2021-12-30,78.56
2021-12-31,72.43
2022-01-01,72.56
2022-01-02,72.94
2022-01-03,73.71
2022-01-04,73.35
2022-01-05,75.93
2022-01-06,74.34
2022-01-07,73.17
2022-01-08,72.95
2022-01-09,74.71
2022-01-10,78.56
2022-01-11,74.3
2022-01-12,69.45
2022-01-13,67.16
2022-01-14,66.27
2022-01-15,67.47
2022-01-16,68.65
2022-01-17,68.36
2022-01-18,66.67
2022-01-19,63.26
2022-01-20,69.84
2022-01-21,77.1
2022-01-22,77.69
2022-01-23,83.49
2022-01-24,80.75
2022-01-25,79.41
2022-01-26,78.37
2022-01-27,73.54
2022-01-28,74.53
2022-01-29,73.48
2022-01-30,71.83
2022-01-31,71.06
2022-02-01,73.71
2022-02-02,73.04
2022-02-03,71.44
2022-02-04,71.03
2022-02-05,69.44
2022-02-06,71.95
2022-02-07,72.63
2022-02-08,73.59
2022-02-09,72.47
2022-02-10,71.6
2022-02-11,75.68
2022-02-12,74.41
2022-02-13,73.97
2022-02-14,74.0
2022-02-15,74.5
2022-02-16,73.21
2022-02-17,73.72
2022-02-18,73.48
2022-02-19,76.53
2022-02-20,78.21
2022-02-21,80.27
2022-02-22,77.59
2022-02-23,86.0
2022-02-24,78.36
2022-02-25,76.01
2022-02-26,81.42
2022-02-27,82.99
2022-02-28,81.14
2022-03-01,79.78
2022-03-02,79.79
2022-03-03,81.17
2022-03-04,81.78
2022-03-05,81.85
2022-03-06,82.85
2022-03-07,85.26
2022-03-08,84.53
2022-03-09,86.46
2022-03-10,78.95
2022-03-11,80.73
2022-03-12,80.63
2022-03-13,82.32
2022-03-14,82.05
2022-03-15,84.47
2022-03-16,80.32
2022-03-17,76.33
2022-03-18,74.69
2022-03-19,77.01
2022-03-20,76.23
2022-03-21,74.67
2022-03-22,70.29
2022-03-23,67.74
2022-03-24,64.34
2022-03-25,64.62
2022-03-26,68.34
2022-03-27,65.36
2022-03-28,63.72
2022-03-29,62.84
2022-03-30,64.22
2022-03-31,60.72
2022-04-01,60.19
2022-04-02,60.29
2022-04-03,62.67
2022-04-04,63.59
2022-04-05,67.41
2022-04-06,64.42
2022-04-07,62.12
2022-04-08,61.73
2022-04-09,61.83
2022-04-10,65.93
2022-04-11,65.04
2022-04-12,65.08
2022-04-13,63.68
2022-04-14,61.78
2022-04-15,61.69
2022-04-16,64.13
2022-04-17,63.55
2022-04-18,61.67
2022-04-19,61.58
2022-04-20,61.91
2022-04-21,62.65
2022-04-22,60.85
2022-04-23,62.17
2022-04-24,65.32
2022-04-25,65.75
2022-04-26,64.97
2022-04-27,62.67
2022-04-28,61.24
2022-04-29,60.72
2022-04-30,61.73
2022-05-01,63.55
2022-05-02,63.78
2022-05-03,65.03
2022-05-04,66.52
2022-05-05,65.98
2022-05-06,64.91
2022-05-07,70.13
2022-05-08,79.2
2022-05-09,79.88
2022-05-10,89.24
2022-05-11,109.82
2022-05-12,86.97
2022-05-13,89.98
2022-05-14,87.95
2022-05-15,91.82
2022-05-16,86.79
2022-05-17,89.17
2022-05-18,87.43
2022-05-19,89.07
2022-05-20,85.44
2022-05-21,84.43
2022-05-22,82.62
2022-05-23,84.38
2022-05-24,83.63
2022-05-25,82.84
2022-05-26,82.94
2022-05-27,82.07
2022-05-28,80.79
2022-05-29,76.9
2022-05-30,76.36
2022-05-31,74.84
2022-06-01,72.79
2022-06-02,73.08
2022-06-03,70.5
2022-06-04,71.55
2022-06-05,68.29
2022-06-06,71.15
2022-06-07,70.48
2022-06-08,70.54
2022-06-09,74.62
2022-06-10,77.97
2022-06-11,78.59
2022-06-12,99.39
2022-06-13,96.05
2022-06-14,108.06
2022-06-15,100.64
2022-06-16,100.97
2022-06-17,108.04
2022-06-18,104.35
2022-06-19,98.01
2022-06-20,90.58
2022-06-21,95.21
2022-06-22,94.34
2022-06-23,87.44
2022-06-24,85.92
2022-06-25,86.07
2022-06-26,88.12
2022-06-27,85.25
2022-06-28,86.43
2022-06-29,90.75
2022-06-30,86.79
2022-07-01,86.4
2022-07-02,87.82
2022-07-03,84.52
2022-07-04,83.95
2022-07-05,81.47
2022-07-06,80.57
2022-07-07,79.97
2022-07-08,73.94
2022-07-09,75.41
2022-07-10,78.65
2022-07-11,79.13
2022-07-12,79.91
2022-07-13,81.57
2022-07-14,77.54
2022-07-15,78.04
2022-07-16,82.52
2022-07-17,82.02
2022-07-18,83.47
2022-07-19,86.06
2022-07-20,83.69
2022-07-21,83.5
2022-07-22,82.1
2022-07-23,81.97
2022-07-24,81.29
2022-07-25,82.18
2022-07-26,80.58
2022-07-27,77.23
2022-07-28,75.43
2022-07-29,79.52
2022-07-30,79.83
2022-07-31,80.55
2022-08-01,79.82
2022-08-02,78.02
2022-08-03,77.54
2022-08-04,76.88
2022-08-05,76.0
2022-08-06,76.58
2022-08-07,79.31
2022-08-08,78.67
2022-08-09,76.43
2022-08-10,76.28
2022-08-11,75.45
2022-08-12,75.81
2022-08-13,75.88
2022-08-14,76.1
2022-08-15,78.2
2022-08-16,81.16
2022-08-17,81.5
2022-08-18,78.6
2022-08-19,79.19
2022-08-20,79.13
2022-08-21,81.06
2022-08-22,79.24
2022-08-23,75.68
2022-08-24,77.08
2022-08-25,72.2
2022-08-26,73.47
2022-08-27,73.31
2022-08-28,73.05
2022-08-29,75.12
2022-08-30,74.9
2022-08-31,76.76
2022-09-01,72.15
2022-09-02,72.82
2022-09-03,73.36
2022-09-04,73.81
2022-09-05,74.07
2022-09-06,75.96
2022-09-07,73.47
2022-09-08,72.61
2022-09-09,73.51
2022-09-10,77.32
2022-09-11,77.8
2022-09-12,79.73
2022-09-13,78.4
2022-09-14,76.67
2022-09-15,73.31
2022-09-16,70.22
2022-09-17,71.48
2022-09-18,71.28
2022-09-19,72.58
2022-09-20,75.05
2022-09-21,75.13
2022-09-22,74.67
2022-09-23,71.03
2022-09-24,70.58
2022-09-25,72.5
2022-09-26,75.24
2022-09-27,72.86
2022-09-28,74.48
2022-09-29,69.67
2022-09-30,69.16
2022-10-01,71.09
2022-10-02,70.08
2022-10-03,69.94
2022-10-04,70.26
2022-10-05,69.65
2022-10-06,66.5
2022-10-07,63.24
2022-10-08,65.59
2022-10-09,69.01
2022-10-10,69.07
2022-10-11,69.22
2022-10-12,66.35
2022-10-13,62.03
2022-10-14,60.94
2022-10-15,61.47
2022-10-16,59.44
2022-10-17,60.56
2022-10-18,60.25
2022-10-19,59.74
2022-10-20,60.49
2022-10-21,60.66
2022-10-22,62.33
2022-10-23,62.03
2022-10-24,63.54
2022-10-25,66.72
2022-10-26,62.86
2022-10-27,57.27
2022-10-28,58.62
2022-10-29,62.25
2022-10-30,62.91
2022-10-31,63.48
2022-11-01,62.86
2022-11-02,58.2
